"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 116","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","FIPS","Qualifying Name","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Median Household Income (In 2019 Inflation Adjusted Dollars)"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_FIPS,Geo_QName,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14006_001
"ACSSF","fl","040","00","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12","Florida",,,"12","Florida",21477737,16010079,3441062,59558,599799,16162,719525,631552,15484502,1794635,13689867,9293745,4753637,1770994,535767,182118,59227
"ACSSF","ga","040","00","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13","Georgia",,,"13","Georgia",10617423,6131699,3390968,42316,439416,6947,321656,284421,7080222,856025,6224197,4284252,2301568,891173,250224,97822,61980
"ACSSF","hi","040","00","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15","Hawaii",,,"15","Hawaii",1415872,341211,26923,6129,547843,152601,24697,316468,996668,75978,920690,647269,335209,115230,37395,15050,83102
"ACSSF","id","040","00","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16","Idaho",,,"16","Idaho",1787065,1596918,12708,22867,25969,2475,67428,58700,1170997,99906,1071091,765817,336655,116466,34603,15100,60999
"ACSSF","il","040","00","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17","Illinois",,,"17","Illinois",12671821,9044059,1790212,32600,717992,4511,730514,351933,8694694,882637,7812057,5556446,3108972,1222732,330506,123718,69187
"ACSSF","in","040","00","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18","Indiana",,,"18","Indiana",6732219,5571899,643105,18416,170566,3254,150696,174283,4502015,468083,4033932,2507107,1212826,435055,116116,50812,57603
"ACSSF","ia","040","00","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19","Iowa",,,"19","Iowa",3155070,2835536,129335,11837,76134,2029,31951,68248,2123004,156481,1966523,1307701,622253,202054,60902,27567,61691
"ACSSF","ks","040","00","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20","Kansas",,,"20","Kansas",2913314,2436902,167237,23860,87018,2453,87073,108771,1918081,157757,1760324,1256289,652489,237638,60672,23408,62087
"ACSSF","ky","040","00","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21","Kentucky",,,"21","Kentucky",4467673,3873691,363167,8326,73087,4212,41032,104158,3048442,390653,2657789,1645146,765923,312883,90894,33342,52295
"ACSSF","la","040","00","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22","Louisiana",,,"22","Louisiana",4648794,2874784,1504017,28561,81506,971,65888,93067,3140201,440844,2699357,1633331,784275,280328,86258,30516,51073
"ACSSF","me","040","00","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23","Maine",,,"23","Maine",1344212,1263287,21983,9419,15323,222,5442,28536,991152,67314,923838,612730,328999,123277,35955,14895,58924
"ACSSF","md","040","00","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24","Maryland",,,"24","Maryland",6045680,3296909,1830059,19164,386194,2453,305343,205558,4183858,402152,3781706,2751070,1710230,798449,245316,114226,86738
"ACSSF","ma","040","00","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25","Massachusetts",,,"25","Massachusetts",6892503,5305385,543629,17875,472895,2998,299262,250459,4850576,420941,4429635,3271569,2181743,984535,292120,142164,85843
"ACSSF","mi","040","00","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26","Michigan",,,"26","Michigan",9986857,7812165,1371069,57785,327230,2078,114190,302340,6894627,596287,6298340,4292359,2070795,818110,211890,85443,59584
"ACSSF","mn","040","00","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27","Minnesota",,,"27","Minnesota",5639632,4627588,370291,57414,285630,2753,109373,186583,3847212,245690,3601522,2661525,1433226,490396,139920,54838,74593
"ACSSF","ms","040","00","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28","Mississippi",,,"28","Mississippi",2976149,1726970,1130608,14634,31154,175,28944,43664,1979664,290917,1688747,1090138,441751,171039,46773,19844,45792
"ACSSF","mo","040","00","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29","Missouri",,,"29","Missouri",6137428,5022939,703058,25516,127154,10214,76294,172253,4206162,391815,3814347,2505488,1271281,495473,134268,55940,57409
"ACSSF","mt","040","00","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30","Montana",,,"30","Montana",1068778,940423,7787,67603,8927,224,7297,36517,741950,42682,699268,488189,249148,77839,25414,10567,57153
"ACSSF","ne","040","00","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31","Nebraska",,,"31","Nebraska",1934408,1666763,94659,18964,47740,1850,51049,53383,1271770,101272,1170498,844109,422587,145428,41051,16959,63229
"ACSSF","nv","040","00","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32","Nevada",,,"32","Nevada",3080156,1989116,296184,42426,261159,22587,324476,144208,2136466,280915,1855551,1262134,548919,193082,60172,24233,63276
"ACSSF","nh","040","00","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33","New Hampshire",,,"33","New Hampshire",1359711,1258576,22000,1727,35807,713,10683,30205,979750,65672,914078,638973,368237,143601,33899,13391,77933
"ACSSF","nj","040","00","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34","New Jersey",,,"34","New Jersey",8882190,5964295,1203843,18440,856561,3254,571368,264429,6191229,599619,5591610,3925289,2551765,995984,275115,108075,85751
"ACSSF","nm","040","00","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35","New Mexico",,,"35","New Mexico",2096829,1549953,48337,199341,36549,924,189281,72444,1425988,201328,1224660,848270,394598,173317,53492,27784,51945
"ACSSF","ny","040","00","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36","New York",,,"36","New York",19453561,12293680,3084304,73560,1680219,8277,1664223,649298,13664734,1694230,11970504,8446312,5166218,2267778,634262,212631,72108
"ACSSF","nc","040","00","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37","North Carolina",,,"37","North Carolina",10488084,7144510,2253481,126708,309905,6878,351465,295137,7187077,818924,6368153,4529111,2321185,849765,233937,102558,57341
"ACSSF","nd","040","00","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38","North Dakota",,,"38","North Dakota",762062,653910,22256,40970,10669,2792,6320,25145,504375,33019,471356,336924,153397,44870,13156,6384,64577
"ACSSF","oh","040","00","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39","Ohio",,,"39","Ohio",11689100,9452650,1467331,23544,274585,5274,122375,343341,8049805,740847,7308958,4681200,2356585,891640,230984,91368,58642
"ACSSF","ok","040","00","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US40","Oklahoma",,,"40","Oklahoma",3956971,2865785,287414,316929,89950,4808,91920,300165,2619244,303266,2315978,1490694,686509,238621,71998,28683,54449
